package_name,package_version,package_meta_checksum,n_unique,package_source,package_gitrepo,package_gitcommit,user_computer,checksum_num
digest,0.6.20,b0cdb7ae08d16036f6ddfe7cb620d804,4,CRAN,NA,NA,"User Y
Laptop",Older
glue,1.4.0,741af08c62e9e1cafcaf124acc9f9deb,3,CRAN,NA,NA,"User S
Desktop",Newest
glue,1.4.0,741af08c62e9e1cafcaf124acc9f9deb,3,CRAN,NA,NA,"User C
Laptop",Newest
glue,1.4.0,741af08c62e9e1cafcaf124acc9f9deb,3,CRAN,NA,NA,"User H
Laptop",Newest
glue,1.4.0,741af08c62e9e1cafcaf124acc9f9deb,3,CRAN,NA,NA,"User G
Laptop",Newest
glue,1.3.1.9000,53c737c9db6ce5cf5378a71d8d7de2db,3,Github,tidyverse/glue,7131fc3,"User S
Server",Newer
glue,1.3.1.9000,53c737c9db6ce5cf5378a71d8d7de2db,3,Github,tidyverse/glue,7131fc3,"User S
Laptop",Newer
glue,1.3.1,e3d70601e5010db32d305a77ce2f3dab,3,CRAN,NA,NA,"User K
Laptop",Middle
glue,1.3.1,e3d70601e5010db32d305a77ce2f3dab,3,CRAN,NA,NA,"User K
Server",Middle
glue,1.3.1,e3d70601e5010db32d305a77ce2f3dab,3,CRAN,NA,NA,"User Y
Laptop",Middle
isoband,0.2.1,b4338143cf697f1f064f74793b60831f,2,CRAN,NA,NA,"User S
Desktop",Newest
isoband,0.2.1,b4338143cf697f1f064f74793b60831f,2,CRAN,NA,NA,"User C
Laptop",Newest
isoband,0.2.1,b4338143cf697f1f064f74793b60831f,2,CRAN,NA,NA,"User G
Laptop",Newest
isoband,0.2.0,01686fe74ecb0b4aaa3f4fd686d2cf4a,2,CRAN,NA,NA,"User H
Laptop",Newer
isoband,0.2.0,01686fe74ecb0b4aaa3f4fd686d2cf4a,2,CRAN,NA,NA,"User K
Laptop",Newer
tibble,3.0.0,21fafe48a4fd6f79b6316e95b2756438,2,CRAN,NA,NA,"User S
Desktop",Newest
tibble,3.0.0,21fafe48a4fd6f79b6316e95b2756438,2,CRAN,NA,NA,"User C
Laptop",Newest
tibble,3.0.0,21fafe48a4fd6f79b6316e95b2756438,2,CRAN,NA,NA,"User H
Laptop",Newest
tibble,3.0.0,21fafe48a4fd6f79b6316e95b2756438,2,CRAN,NA,NA,"User G
Laptop",Newest
tibble,2.1.3,1154951dbe89cc4bc3017beb3a309a64,2,CRAN,NA,NA,"User S
Server",Newer
tibble,2.1.3,1154951dbe89cc4bc3017beb3a309a64,2,CRAN,NA,NA,"User S
Laptop",Newer
tibble,2.1.3,1154951dbe89cc4bc3017beb3a309a64,2,CRAN,NA,NA,"User K
Laptop",Newer
tibble,2.1.3,1154951dbe89cc4bc3017beb3a309a64,2,CRAN,NA,NA,"User K
Server",Newer
tibble,2.1.3,1154951dbe89cc4bc3017beb3a309a64,2,CRAN,NA,NA,"User Y
Laptop",Newer
Rcpp,1.0.4.6,0502798c3dc7ebc101fb408f0a5b9be5,4,CRAN,NA,NA,"User S
Desktop",Newest
Rcpp,1.0.4.6,0502798c3dc7ebc101fb408f0a5b9be5,4,CRAN,NA,NA,"User C
Laptop",Newest
Rcpp,1.0.4.6,0502798c3dc7ebc101fb408f0a5b9be5,4,CRAN,NA,NA,"User G
Laptop",Newest
Rcpp,1.0.4,733b33dc64834918dcdb0a3c728edafe,4,CRAN,NA,NA,"User H
Laptop",Newer
Rcpp,1.0.3,858375625c2aa7db18cc0c64e5a1dc0f,4,CRAN,NA,NA,"User S
Laptop",Middle
Rcpp,1.0.3,858375625c2aa7db18cc0c64e5a1dc0f,4,CRAN,NA,NA,"User K
Laptop",Middle
Rcpp,1.0.3,858375625c2aa7db18cc0c64e5a1dc0f,4,CRAN,NA,NA,"User K
Server",Middle
Rcpp,1.0.2,c943d8a62281d85d9913b46bfe442db8,4,CRAN,NA,NA,"User S
Server",Older
Rcpp,1.0.2,c943d8a62281d85d9913b46bfe442db8,4,CRAN,NA,NA,"User Y
Laptop",Older
vctrs,0.2.4,7018091932378c24b41eb227f9360c58,5,CRAN,NA,NA,"User S
Desktop",Newest
vctrs,0.2.4,7018091932378c24b41eb227f9360c58,5,CRAN,NA,NA,"User C
Laptop",Newest
vctrs,0.2.4,7018091932378c24b41eb227f9360c58,5,CRAN,NA,NA,"User H
Laptop",Newest
vctrs,0.2.4,7018091932378c24b41eb227f9360c58,5,CRAN,NA,NA,"User K
Laptop",Newest
vctrs,0.2.4,7018091932378c24b41eb227f9360c58,5,CRAN,NA,NA,"User G
Laptop",Newest
vctrs,0.2.3,9a7fa7b99293e7582bf83a27d5d20439,5,CRAN,NA,NA,"User S
Laptop",Newer
vctrs,0.2.2,6776a9e1d376757fdc34cc7c0dbaa88d,5,CRAN,NA,NA,"User S
Server",Middle
vctrs,0.2.1,409a75049091f0bc1d984fda4e1f429a,5,CRAN,NA,NA,"User K
Server",Older
vctrs,0.2.0,02846360543b7b331a8610e5d148f831,5,CRAN,NA,NA,"User Y
Laptop",Oldest
lifecycle,0.2.0,585c296380b8e1252415d1ae662338da,2,CRAN,NA,NA,"User S
Desktop",Newest
lifecycle,0.2.0,585c296380b8e1252415d1ae662338da,2,CRAN,NA,NA,"User C
Laptop",Newest
lifecycle,0.2.0,585c296380b8e1252415d1ae662338da,2,CRAN,NA,NA,"User H
Laptop",Newest
lifecycle,0.2.0,585c296380b8e1252415d1ae662338da,2,CRAN,NA,NA,"User K
Laptop",Newest
lifecycle,0.2.0,585c296380b8e1252415d1ae662338da,2,CRAN,NA,NA,"User G
Laptop",Newest
lifecycle,0.1.0,b3d0bb6da246dab4a1c3c72c796525b0,2,CRAN,NA,NA,"User S
Server",Newer
lifecycle,0.1.0,b3d0bb6da246dab4a1c3c72c796525b0,2,CRAN,NA,NA,"User S
Laptop",Newer
lifecycle,0.1.0,b3d0bb6da246dab4a1c3c72c796525b0,2,CRAN,NA,NA,"User K
Server",Newer
rgl,0.100.50,455f3ff6839345bbfd87e37bf75785d0,2,CRAN,NA,NA,"User K
Laptop",Newest
rgl,0.100.50,455f3ff6839345bbfd87e37bf75785d0,2,CRAN,NA,NA,"User G
Laptop",Newest
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User S
Desktop",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User S
Server",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User S
Laptop",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User C
Laptop",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User H
Laptop",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User K
Server",Newer
rgl,0.100.30,04e2077739dac9fd835ae374f55ccd68,2,CRAN,NA,NA,"User Y
Laptop",Newer
TTR,0.23-6,2cbcadb5aaa36961ddb4b7c0b087b116,3,CRAN,NA,NA,"User S
Desktop",Newest
TTR,0.23-6,2cbcadb5aaa36961ddb4b7c0b087b116,3,CRAN,NA,NA,"User H
Laptop",Newest
TTR,0.23-6,2cbcadb5aaa36961ddb4b7c0b087b116,3,CRAN,NA,NA,"User K
Laptop",Newest
TTR,0.23-6,2cbcadb5aaa36961ddb4b7c0b087b116,3,CRAN,NA,NA,"User K
Server",Newest
TTR,0.23-6,2cbcadb5aaa36961ddb4b7c0b087b116,3,CRAN,NA,NA,"User G
Laptop",Newest
TTR,0.23-5,57b6fa46f2c77dd634434ef573ac2ae7,3,CRAN,NA,NA,"User S
Server",Newer
TTR,0.23-5,57b6fa46f2c77dd634434ef573ac2ae7,3,CRAN,NA,NA,"User C
Laptop",Newer
TTR,0.23-4,d212fea891e5ae2ab1d5188e56daf274,3,CRAN,NA,NA,"User S
Laptop",Middle
TTR,0.23-4,d212fea891e5ae2ab1d5188e56daf274,3,CRAN,NA,NA,"User Y
Laptop",Middle
plyr,1.8.5,cc0dc3b7d845b74aa58935e48c21bee1,2,CRAN,NA,NA,"User S
Desktop",Newest
plyr,1.8.5,cc0dc3b7d845b74aa58935e48c21bee1,2,CRAN,NA,NA,"User H
Laptop",Newest
plyr,1.8.5,cc0dc3b7d845b74aa58935e48c21bee1,2,CRAN,NA,NA,"User K
Server",Newest
plyr,1.8.4,bdd6af6ebaa0c94869dc9054febbd0bb,2,CRAN,NA,NA,"User S
Server",Newer
plyr,1.8.4,bdd6af6ebaa0c94869dc9054febbd0bb,2,CRAN,NA,NA,"User S
Laptop",Newer
plyr,1.8.4,bdd6af6ebaa0c94869dc9054febbd0bb,2,CRAN,NA,NA,"User C
Laptop",Newer
plyr,1.8.4,bdd6af6ebaa0c94869dc9054febbd0bb,2,CRAN,NA,NA,"User Y
Laptop",Newer
